studnr_a,Cijfer,cohort,cohort_blok,vooropl_type,profiel,vooropl_profiel,w1_prac,w2_prac,w3_prac,w4_prac,w5_prac,w6_prac,w1_quiz,w2_quiz,w3_quiz,w4_quiz,w5_quiz,w6_quiz,w7_oefen_toets,Category_total,CorrectUnassigned,IncorrectUnassigned,W1_MMLAttemps,W1_MMLMastery,W2_MMLAttemps,W2_MMLMastery,W3_MMLAttemps,W3_MMLMastery,W4_MMLAttemps,W4_MMLMastery,W5_MMLAttemps,W5_MMLMastery,W6_MMLAttemps,W6_MMLMastery,W8_MMLAttemps,W8_MMLMastery,Course,complete,Hoursviewed
664138,9.6,1314,1314,1,5,15,0,0,0,0,0,0,2,4,6,2.33,4,0,0,2.82, , , , , , , , , , , , , , , , , , , 
686273,9.6,1314,1314,3,3,33,0,0,0,0,0,0,9,7.75,5,6.57,7,0,0,5.43,250,0,45,100,140,100,134,100,11,100,125,100,119,100, , , , , 
687488,9.6,1314,1314,1,5,15,0,0,0,0,0,0,5,2.5,5,2.67,7,0,0,3.41,227,23,58,100,99,100,279,100,19,100,188,100,90,100, , , , , 
689899,9.6,1314,1314,3,9,39,0,0,0,0,0,0,9,4.75,8,2,5,0,0,4.42,247,3,53,100,122,100,130,100,16,100,107,100,75,100, , , , , 
610112,9.7,1314,1314,1,2,12,0,0,0,0,0,0,5,7,8,3.33,4,0,0,4.21,250,0,37,100,144,100,302,100,23,100,112,100,85,100, , , , , 
638356,9.7,1314,1314,1,2,12,0,0,0,0,0,0,0,4.75,4,4,8,0,0,3.19,175,74,44,100,134,100,272,100,35,100,102,100,182,100, , , , , 
643258,9.7,1314,1314,1,4,14,0,0,0,0,0,0,3,2.13,4,3.33,6,25,0,6.69,243,7,34,100,192,100,200,100,21,100,145,100,51,100, , , , , 
668847,9.7,1314,1314,1,2,12,0,0,0,0,0,0,1,4,7,0,0,30,0,6.46,38,188,50,96,131,100,203,100,14,100,97,100,35,34, , , , , 
682838,9.7,1314,1314,1,4,14,0,0,0,0,0,0,6,7,8,3.23,8,0,0,4.96,250,0,35,100,124,100,236,100,8,100,122,100,136,100, , ,Java Advanced Training,2.34,0.17
682870,9.7,1314,1314,1,5,15,0,0,0,0,0,0,2,5.75,6,0.33,3,0,0,2.63,250,0,27,100,95,100,195,100,31,100,85,100,61,100, , , , , 
686028,9.7,1314,1314,1,2,12,0,0,0,0,0,0,5,3.88,5,3.67,3,85,0,16.24,250,0,43,100,140,100,241,100,22,100,142,100,86,100, , , , , 
687656,9.7,1314,1314,1,2,12,0,0,0,0,0,0,3,5,7,1,8,0,0,3.69,250,0,49,100,165,100,192,100,64,100,176,100,68,100, , ,Java Essential Training,26.06,1.85
639803,9.8,1314,1314,1,2,12,0,0,0,0,0,0,3,4.5,0,4.67,0,0,0,1.87,187,59,52,88,128,100,173,100,26,100,103,100,46,100, , , , , 
660927,9.8,1314,1314,1,2,12,0,0,0,0,0,0,3,2.63,5,3.57,8,0,0,3.41,247,0,48,88,148,100,235,100,24,100,112,100,116,100, , , , , 
665378,9.8,1314,1314,1,6,16,0,0,0,0,0,0,4,3.75,7,2.33,9,0,0,4.01,250,0,44,100,127,100,258,100,49,100,208,100,104,100, , , , , 
680492,9.8,1314,1314,1,4,14,0,0,0,0,0,0,3,7,6,3.67,2,0,0,3.33,183,63,40,100,133,100,371,100,65,100,160,98,103,97, , , , , 
681744,9.8,1314,1314,4,0,40,0,0,0,0,0,0,0,0,7,0,4,0,0,1.69,225,25,82,100,206,100,282,100,19,100,171,100,129,100, , , , , 
682242,9.8,1314,1314,2,2,22,0,0,0,0,0,0,4,9,7,5.33,6,0,0,4.82,250,0,50,100,104,100,223,100,15,100,118,100,104,100, , , , , 
688783,9.8,1314,1314,3,2,32,0,0,0,0,0,0,3,6,6,5.33,4.9,0,0,3.88, , , , , , , , , , , , , , , , , , , 
690909,9.8,1314,1314,1,5,15,0,0,0,0,0,0,4,2.75,7,0,0,0,0,2.12,219,27,46,88,190,100,206,100,14,100,128,100,65,100, , , , , 
697642,9.8,1314,1314,3,3,33,0,0,0,0,0,0,1,6,6,2,4,0,0,2.92,249,0,41,100,156,100,229,100,19,100,125,100,106,100, , , , , 
699219,9.8,1314,1314,2,5,25,0,0,0,0,0,0,0,4.63,9,3,0,0,0,2.56, , , , , , , , , , , , , , , , ,Java Essential Training,37.62,0.58
703602,9.8,14151,14151,1,5,15,1,1,1,1,1,1,7.78,8,7.86,7,0,6.28,0,0,225,0,30,100,102,100,70,100,52,100,41,100,93,100,9,100, , , 
669829,9.9,1314,1314,1,5,15,0,0,0,0,0,0,3,6,6,4.67,7,80,0,16.41,128,122,57,100,155,100,225,100,10,100,112,100,86,100, , , , , 
679141,9.9,1314,1314,2,3,23,0,0,0,0,0,0,2,5,9,7.33,6,0,0,4.51,250,0,44,100,106,100,253,100,24,100,146,100,76,100, , , , , 
681807,9.9,1314,1314,1,6,16,0,0,0,0,0,0,5,7,7,1.67,0,0,0,3.18,250,0,44,100,112,100,301,100,19,100,166,100,165,100, , ,Java Essential Training,8.84,1.33
681967,9.9,1314,1314,1,4,14,0,0,0,0,0,0,0,0,8,3.33,7,0,0,2.82,172,41,55,100,104,100,100,99,8,100,55,100,0,0, , , , , 
683309,9.9,1314,1314,1,4,14,0,0,0,0,0,0,7,3,7,3.33,6,0,0,4.05,209,38,49,100,187,100,423,100,108,100,200,100,207,100, , , , , 
